,Image,Acc,Dice_Coef,Jaccard,Recall,Precision
0,cju160wshltz10993i1gmqxbe,0.9895477294921875,0.8035560653857184,0.6716203259827421,0.9957356076759062,0.6735576923076924
1,cju171py4qiha0835u8sl59ds,0.89483642578125,0.8289911170661506,0.7079289740221214,0.7392901398477607,0.9434654919236417
2,cju175facms5f0993a5tjikvt,0.872222900390625,0.6612733597605372,0.49395697365240515,0.5889473304993155,0.753850410403025
3,cju1819curo000988pd5xcqme,0.985015869140625,0.9252436053593179,0.8608868111630542,0.960790513833992,0.8922331522537073
4,cju183od81ff608017ekzif89,0.96026611328125,0.8699820251647693,0.7698833510074231,0.9783267827063448,0.783241931133687
5,cju1871y11d6r0799k6cw4yze,0.98284912109375,0.9421929644106151,0.8907040062232594,0.9942472593075002,0.8953181507184048
6,cju18849rrsgr0988p90hkygb,0.984619140625,0.9316053738634821,0.8719674838054109,0.9937753329473075,0.8767560664112388
7,cju300m3s04fg0988uzupuf7z,0.970611572265625,0.9115214994487322,0.837427196758673,0.9614303711599961,0.8665385623198533
8,cju302fqq9spc0878rrygyzzz,0.786102294921875,0.6581976007022334,0.4905324368526258,0.9942541436464089,0.49192695994460034
9,cju303j5r062k098835zxfds5,0.98883056640625,0.9296289175158623,0.8685108676127178,0.9979360165118679,0.8700737808169876
10,cju30525w04r10835ygp257sb,0.9791412353515625,0.8916369401506145,0.8044628808468031,0.9959270409066762,0.8071182548794489
11,cju306x7w05nb0835cunv799x,0.9683990478515625,0.9009612165845727,0.8197719954747194,0.9775840597758406,0.8354767184035476
12,cju310f6val1v0855xo8tc3gu,0.6227874755859375,0.4967530484701667,0.3304533882238232,0.3370628211503398,0.9439845261121856
13,cju3128yi0rpu0988o4oo5n8n,0.9913330078125,0.8881449389523434,0.7987956075097414,0.9995567375886525,0.7990786676116229
14,cju320gyvbch60801v2amdi2g,0.8917999267578125,0.772673356201712,0.6295580399122349,0.9930778739184178,0.6323328785811733
15,cju323ypb1fbb0988gx5rzudb,0.9312286376953125,0.8976635407915352,0.8143280876658153,0.8385796707958595,0.9657042356734574
16,cju324q101fhe08350wae9cif,0.970916748046875,0.845517912141352,0.7323785453524291,0.9166959578207381,0.7845968712394705
17,cju326h4v1gxw08352px40p7r,0.9198455810546875,0.8856875503231563,0.794828731008085,0.8466114739776178,0.9285453549917868
18,cju3280wv1ir009882jze27tc,0.97149658203125,0.8925942962281509,0.8060228452751818,0.8861742208014614,0.8991080736707981
19,cju330ofbc2l30801th5g3hw6,0.9896392822265625,0.8561135833863106,0.7484253427195258,0.933456561922366,0.7906066536203522
20,cju33231uy4gi0993qc7b1jch,0.9752044677734375,0.757860229473998,0.6101247600767754,0.8307742567788304,0.6967123287671233
21,cju334jzo261t0835yqudnfs1,0.968658447265625,0.9222087562490532,0.8556469182655141,0.9982781239750738,0.8569115990990991
22,cju336l68y7if0993wf092166,0.9538421630859375,0.8825470782372355,0.7897845726198749,0.8257647315265567,0.9477151434289527
23,cju3381d8bz3h07991xtl7ra0,0.98956298828125,0.8757267441860465,0.7789269553975436,0.8831073653352877,0.8684684684684685
24,cju3518w2d838079939fqztbc,0.9680328369140625,0.9066191219077335,0.8291887484712597,0.9812813585488228,0.8425151188799602
25,cju3521y5d5mq0878t3ezsu4p,0.991180419921875,0.9190929451287794,0.8502978502978503,0.9621922626025792,0.8796891747052519
26,cju353d1eda8c07992afde611,0.9862823486328125,0.9220497702245729,0.8553732303732303,0.981358434846807,0.8695012264922323
27,cju35740hzm0g0993zl5ic246,0.92156982421875,0.29356789444749865,0.1720360824742268,0.44095788604459124,0.2200247218788628
28,cju357rxxdaz30878y2esjpjt,0.9849395751953125,0.7568366592756838,0.6087990487514863,0.8807339449541285,0.6634989200863931
